Service Domain,Business Area,Business Domain,functionalPattern,assetType,genericArtefactType,Examples Of Use,Role Definition
ACH Operations,Operations,Clearing And Settlement,Operate,ACH Fulfillment,Operating Session,A payment is made between two customers of different banks. The payment is processed via an automated clearing house.,"This service domain handles the operational interface with an external automated clearing house (ACH) service. It handles the sending and receipt of batched transactions, servicing reporting and executes the schedule of service operations"
Card Clearing,Operations,Clearing And Settlement,Process,Card Clearing,Procedure,"An Acquiring Bank receives charge transactions submitted by Merchants through Point of Sale Terminals or batch submission for recurring billing and forwards these transactions to the respective Card Issuing Banks through the Card Network (e.g. Visa, MC, AMEX, Diners, etc.). This process may take place multiple times during the day. 
","The behavior varies depending on the role of the participant bank/network. A card acquiring Bank consolidates all incoming transactions from Merchants, determining their routing, and transmitting to the respective Card Networks. For the Card Networks it receives and consolidates the transactions from all Acquiring Banks and to distribute and route them to the respective Card Issuing Banks. For the Card Issuing Banks it receives their cardholder transactions from the Card Networks and routes them to the instance of the Credit/Charge Card service domain which is responsible for the card used in the transaction. The transactions may include charges, refunds, and chargebacks."
Card eCommerce Gateway,Operations,Clearing And Settlement,Operate,eCommerce Gateway,Operating Session,"Example of use:
When a Card is used for making a payment on an e-commerce site of a Merchant, the Merchant initiates three steps to process the payment: 1) request authentication of the Card and the Cardholder, 2) request an authorization of the charge amount, and 3) submit the charge details to the Card Acquirer for processing and payment.","This service domain is used by the Card Acquiring bank to handle the authentication, authorization and submission of a Card payment from an e-commerce merchant. It supports the ""3-D"" Secure method of authentication which routes the authentication request to the Card Issuing Bank, which may use multi-factor authentication for the authentication of the Card and the Cardholder. It also handles the routing of the authorization request through the Card Transaction Switch service domain and the routing of the submitted charges to the Card Clearing service domain."
Card Financial Settlement,Operations,Clearing And Settlement,Process,Card Financial Settlement,Procedure,Card Charge transactions that are acquired from the Merchants by the Acquiring Bank and forwarded to the Issuing Banks through Card Clearing are periodically settled (generally once a day).,"This service domain is used by the Card Network to initiate either gross or net settlement for the charges cleared during a specified period and to issue settlement instructions to the Issuing and Acquiring Banks. This requires the Card Network to issue settlement instructions to each Issuing Bank directing them to remit the total amounts corresponding to the cleared charges to designated bank accounts that are managed by the Card Network, which in turn makes the corresponding remittances to the designated bank accounts for the Card Issuers.
The service domain is also used by the Issuing and Acquiring banks to perform reconciliation of the settlement instructions against the cleared charges and to initiate remittances through the Payment Order service domain."
Central Cash Handling,Business Development,Channel Management,Allocate,Central Cash,Allocation,"Example of use:
The central cash management function reviews the current and projected available float at locations across the network to ensure adequate supply to meet projected demand",This service domain is responsible for tracking the available cash inventory held centrally and distributed/collected throughout the branch/ATM network and making allocation/redistribution requests to ensure adequate float is available at all locations and that excess cash at any location is transferred to central secure locations as appropriate. Also coordinating with other banks and central banks to ensure sufficient cash is on hand to support the branch network requirements
Cheque Processing,Operations,Clearing And Settlement,Operate,Cheque Processing,Operating Session,"Example of use:
A batch of paper cheques captured at a merchant location is processed to initiate settlement processing","This service domains handles the processing of paper checks, performing the necessary checks and extracting the transaction details required to create a payment transaction record stream. This includes MICR number processing and character recognition facilities"
Correspondent Bank Operations,Operations,Clearing And Settlement,Operate,Correspondent Bank,Operating Session,Transfer funds from a customer account with the bank to an account with another bank.,This Service Domain handles incoming and outgoing payment clearing and settlement messages to the bank's correspondent banking partners. The actual message transmission is delegated to the Financial Message Gateway service domain. Correspondent Bank administers the mirror accounting for interbank payments undertaking the underlying account reconciliation tasks.
Financial Gateway,Channels,Channel Specific,Operate,Financial Gateway,Operating Session,"During the 24 hour cycle, the bank's 'wire room' unit establishes the connections with the different payments, SWIFT and reporting networks","This service domain supports the operational connections with the range of financial networks that support interbank and financial institution connectivity. This includes SWIFT, ACH gateways, and market exchange/regulatory reporting connections. The service domain does not create content itself, it provides a message exchange service between (financial) institutions for various units within the bank. It may format messages and maintain and apply authentication and encryption keys to the transmitted messages and necessary. It also provides operational message recovery and retransmission facilities as appropriate"
Financial Message Analysis,Business Development,Channel Management,Analyze,Financial Network Gateway,Analysis,A pattern of financial message traffic for a major counterparty is analyzed to reveal possible fraudulent behaviors,Track and analyze financial message traffic to identify anomalies and potential fraudulent activity
Payment Execution,Operations,Clearing And Settlement,Process,Payment Execution,Procedure,"Example of use:
Funds are transferred from a customer's account with the bank to a payee account held at another bank",Payment Execution handles the back-end processing of a movement funds from a debtor account to a creditor account. Payments need to have been authorized and validated against customer/bank agreements before being instructed to Payment Execution. Payment Execution then determines whether debtor and creditor accounts are held within the bank and if not selects the appropriate payment mechanism/channel to use to complete the transfer. It is responsible for ensuring that both (or neither) sides of the exchange are completed successfully
Payment Instruction,Operations,Clearing And Settlement,Process,Payment Instruction,Procedure,An inbound request for payment transaction is received from a third party payment service. The associated service permissions and customer arrangements are confirmed. Compliance and fraud checks are completed before the instruction is passed to the customer's account handling Service Domain for further processing ,"The Payment Instruction Service Domain handles the initial assembly and verification of payment instructions that may be requested by third party payment service providers and/or bank customers that access external payment services. The Service Domain checks that any and all agreements are in place with respect to all interested parties and payment agencies, that the requested action is allowed and within any associated limits and that all required information is available and where possible/appropriate is validated/verified. Once the instruction has been assembled and all checks performed it is routed to the associated fulfillment Service Domain where the payment transaction can be initiated"
Payment Order,Operations,Clearing And Settlement,Process,Payment Order,Procedure,A customer transaction results in the generation of a payment order to transfer funds to an account in another bank,Payment Order handles the internal bank and compliance checks and processing of funds transfers prior to initiating the actual mechanics of transfer which is handled by the service domain Payment Execution. This includes watch-list and other regulatory checks and applying any counterparty specific limits and payment preferences. It may also oversee payment netting arrangements between the bank and other counterparties
Payment Rail Operations,Operations,Clearing And Settlement,Operate,Payment Rail,Operating Session,The bank receives a payment notification for one of its customers from the payment service. Once lower level message security checks have been performed the interpreted message is passed to the Payment Instruction Service Domains for further processing. ,"This Service Domain handles the operational interface with one or more external payment services or 'payment rails'. This includes formatting outbound messages and extracting and mapping inbound message content for internal processing during the scheduled operating sessions of the payment service. If the payment service fulfillment involves the store and forward of payments for clearing and settlement purposes, this Service Domain will interact with a paired Holding Account Service Domain to handle the underlying recording and movement of funds between the bank and service provider."
Card Authorization,Products,Cards,Assess,Credit Card Authorization,Assessment,"A credit card customer makes a large purchase, the card authorization triggers a verbal check of the customer details for security and the authorization is given","The proposed card transaction is requested by a merchant and routed through the Acquirer and Card Network to the Issuer. The authorization decision is automated and can be extremely complex. Transactions may be passed for manual checks by on-line service representatives for out of pattern purchases. Note that authorized transaction amounts may vary from the actual final amount (e.g. pre authorized hotel/car hire and charged meals excluding tips) and in cases there will be no financial transaction for an authorized transaction if the customer chooses to pay using a different card/cash. While this function is primarily performed by the Issuer, Acquirers and Card Networks may perform Stand-in Authorization and forward the results to the Issuer for recording."
Card Network Participant Facility,Products,Cards,Fulfill,Card Network Participant,Facility,The Card Network signs up Acquiring Banks for recruiting and setting up accounts for merchants and Issuing Banks for issuing cards to its customers.,"Cards issued by banks are affiliated with one of many international Card Networks, such as Visa, Master Card, Diners, American Express. This service domain is used by the Card Network for setting up Acquiring and Issuing Bank accounts and their terms and conditions."
Card Transaction Capture,Products,Cards,Transact,Credit Charge Card Financial Capture,Transaction,"Example of use:
A card user uses their card to pay for a meal at a restaurant",Capture the card payment transaction at the merchant/point of sale. This includes obtaining the authorization for the transaction by accessing the issuer's account through the card network. The authorized transactions are collected for subsequent batch reporting and settlement processing through the network
Credit Card,Products,Cards,Fulfill,Credit Card,Facility,An established card customer uses his or her credit card for a purchase and settles the balance of the card account at the monthly payment cycle,"This service domain handles both credit and charge card fulfillment. The main functional difference being the different re-payment and credit handling structures of the two types of card product. Note that unlike a current accounts, card products are typically fulfilled through specialised credit card companies using a card network that links issuing banks and merchant acquiring banks for authorization, clearing and settlement activities.
Debit cards (i.e. devices to access a normal bank account) do not come under this Service Domain."
Credit Card Position Keeping,Products,Cards,Track,Credit Card Position,Log,The transaction events for a customer using their card to book and eventually pay their hotel bill are recorded in the log,"The Credit Card Position Keeping Service Domain holds the transaction details for the complete life-cycle. This includes pre-authorization, authorization, top-up authorization, financial charge, tips and additional charges and charge-back related. This transaction log is maintained and referenced by card fulfilllment processing"
Merchant Acquiring Facility,Products,Cards,Fulfill,Merchant Acquiring,Facility,The Acquiring Bank signs up Merchants for accepting Card Payments and opens Merchant Accounts for them.,"This service domain is the primary service domain for handling the Merchant Account and the specific terms and conditions for the merchant. It includes opening the Merchant account, performing the required setup for card acceptance, such as assigning POS terminals, maintaining the accounts payable balances for the merchant, performing periodic settlement, and handling fees and charges. When Merchants submit card payment transactions, the Acquiring Bank is responsible for paying the Merchants in accordance with the terms of the Merchant agreement, which specify when the merchant should be paid and the amount that is withheld from the payment as merchant discount or service fees."
Merchant Relations,Products,Cards,Agree Terms,Merchant Relationship,Agreement,A card charge is disputed and a case raised - the case processing process references the in-force merchant terms and conditions governing the dispute resolution,"The bank's merchant relationships are governed by the terms and conditions maintained by this service domain. Note this covers the application of legal, regulatory and operational terms agreed with the merchant and does not cover any more general aspect of relationship management"
Bank Drafts,Products,Trade Banking,Transact,Bearer Document,Transaction,A customer purchases a bank draft in order to meet the requirements of a merchant from which they wish to make a major purchase,"This Service Domain handles the pricing and issuance of various forms of bank guaranteed payment vehicles, including bank drafts, wire transfers, certified checks and travelers checks. The transaction combines extracting the principal amount and fees from the buyer's account and creating and registering the physical bearer document using any suitable media and security mechanisms. The bank guaranteed funds are held on a holding account pending the deposit of the draft by the payee."
Brokered Product,Products,Consumer Banking,Fulfill,Brokered Product,Facility,Access to a bank approved insurance broker is facilitated by a customer's relationship manager,"Administer 3rd party coordination for the production delivery of 'brokered' products and services that are offered through the bank, possibly in combination with the bank's own product and service offerings"
Consumer Advisory Services,Products,Advisory Services,Fulfill,Consumer Advice,Facility,A customer obtains tax optimization advice from a financial advisor at a branch,"Provide consumer customers with financial advice, for product selection, investments, tax optimization etc. The time spent may incur a charge particularly when specialist financial advisory resources are engaged"
Consumer Investments,Customers,Investment Services,Transact,Consumer Securities Order,Transaction,"An consumer initiates a securities purchase for their investment portfolio, providing funds from their linked 'trading' current account",This supports consumer initiated securities investment and trading activity for their self-managed securities investments. Trades will typically be blocked/netted against the bank's own securities position for subsequent market execution. Quotes/prices are based on the prevailing price at the time of the customer instruction to trade
Corporate Trust Services,Products,Corporate Banking,Fulfill,Corporate Trust Services,Facility,A corporate uses the corporate trust services of the bank to manage its investor relations for a major debt issue,Provide corporate trust services focused on the independent/fiduciary handling of a broad range of possible corporate debt instruments with investors and supporting escrow account arrangements as necessary
Currency Exchange,Products,Consumer Banking,Transact,Currency Exchange,Transaction,"Example of use:
A non-bank customer obtains a currency exchange at the teller, buying foreign currency for local currency in cash",This is an over the counter service where currency is exchanged and the transaction uses preferential rates and can include transaction fees. Note in some cases travelers checks can be handled as a pseudo currency within this capability. Note that Branch and teller currency inventory tracking and distribution is administered by Branch Currency Management and Branch Currency Distribution service domains
Customer Tax Handling,Operations,Accounting Services,Fulfill,Customer Tax Obligation,Facility,A consumer customer is provided with a year end tax report for products and services provided by the bank,There are different tax tracking and reporting obligations for products and services in different locations and jurisdictions. This service domain handles the consolidation and reporting of tax related activity as necessary for a customer. Note that this service domain is only responsible for the consolidation and reporting of tax related activity - other service domains will be required to handle actual tax processing obligations as may apply for certain products and services
Trust Services,Products,Consumer Banking,Fulfill,Trust Services,Facility,A trust fund is set up on behalf of a parent for their offspring. The parent sets aside cash/assets for the trust. The trust handles the cash/assets until the offspring reaches a certain age. ,"Provide trust services for high value customers, including asset maintenance, court administration, tax and expense handling, asset management and estate, inheritance and income tax processing"
Corporate Finance,Products,Advisory Services,Advise,Corporate Finance Services,Advice,A corporate client relationship manager enrolls specialist financial advisory services to assist a corporate customer with a strategic funding options assessment,Provides a broad range of fee or commission based specialized financing advisory services (both tactical and strategic in nature). Assignments will typically be packaged into scoped projects with defined outcomes that support institutional and corporate customers. On-going/ad hoc advisory support may also be provided on a retainer basis
Corporate Tax Advisory,Products,Advisory Services,Fulfill,Corporate Tax Advisory,Facility,A corporate customer obtains tax optimization advice from a financial advisor at a branch,Provide corporate customers with tax related advice to better understand tax obligations and to identify and implement tax optimization approaches. The service is fee based and may include the use of product specialist financial advisory resources when required
Mergers and Acquisitions Advisory,Products,Advisory Services,Advise,Mergers And Acquisition,Advice,A corporate customer engages an investment bank to lead an M&A transaction on its behalf,"A fee or commission based project providing advice, execution, pricing and deal coordination and placement for M&A, IPO, MBO, LBO type transactions"
Private Placement,Products,Corporate Finance,Fulfill,Private Placement,Facility,The Corporate Finance unit of an investment bank provides support to a corporate customer with a private placement in order to raise finds for a planned expansion of their manufacturing capacity,"Private placement covers the definition, pricing, placing and all supporting actions involved for a private offering of corporate equity or debt. A private placement avoids many of the more stringent regulatory constraints of a public offering but can only be placed with accredited investors. The associated equity or debt securities issued by the corporate do not need to be registered with the regulatory authorities."
Public Offering,Products,Corporate Finance,Fulfill,Public Offering,Facility,An investment bank assembles a consortia of banks as lead bank to orchestrate an IPO for a rapidly growing private company that wishes to raise significant capital to expand its operations,"A public offering involves the specification and packaging of corporate equity or bonds in the public markets to raise capital. This can be the initial public offering (IPO) when a private company is first taken public, and secondary/follow-on offerings to raise further capital. IPO's involve a broad range of financial analysis, auditing and regulatory approval actions. A lead bank and several underwriting banks may coordinate to underwrite the initiative. Secondary offerings can be dilutive (create additional shares) or non-dilutive (redistribute existing shares)."
eTrading Workbench,Customers,Investment Services,Operate,eTrading Workbench,Operating Session,"A consumer customer logs on to the E-branch web portal to access their e-trading account, tracks prices and research relating to his portfolio and executes and sale/purchase pair of transactions.",Operate the consumer e-trading facility (combines consumer device based application and network connectivity to the bank). This enables a customer to trade securities on their own account through the bank. A customer can initiate the execution of securities trades against their trading facility. The facility will determine and apply service/facility fees and charges as appropriate.
Investment Account,Operations,"Custody, Collateral And Documents",Fulfill,Investment Account,Facility,An investment customer maintains an investment portfolio and the holdings are maintained in the Investment Account,"The Investment Account is a facility used to maintain the non-cash holdings for a customer. It handles the deposit and withdrawal of securities and can maintain records for multiple securities/instruments. It also reflects the results of corporate actions as handled/orchestrated by the Corporate Events Service Domain (such as dividend payments, splits, etc.)"
Investment Portfolio Analysis,Customers,Investment Services,Analyze,Managed Investment Portfolio,Analysis,A relationship manager requests an investment portfolio performance analysis prior to a regular client meeting,Perform scheduled and ad-hoc performance analysis on a customer's investment portfolio. This can include different types of analysis and performance comparisons
Investment Portfolio Management,Customers,Investment Services,Fulfill,Managed Investment Portfolio,Facility,"An investment manager monitoring the markets determines that an identified opportunity can be exploited for the portfolio, remaining in line with the portfolio policies",Orchestrate the investment/ rebalancing of an investment portfolio to optimize gains remaining within the terms of the portfolio 'charter' or agreement
Investment Portfolio Planning,Customers,Investment Services,Agree Terms,Managed Investment Portfolio,Agreement,A relationship manager established the investment agreement for a customer that is setting up a managed investment portfolio,"Agree the customer investment portfolio governing principles, risk appetite, management/trading guidelines and target portfolio profile. Identify any desired/target and 'out of bounds' securities/sectors. Ensure disclosures and related eligibility, suitability and other regulatory obligations are addressed and reflected in the agreement"
Consumer Loan,Products,Loans and Deposits,Fulfill,Consumer Loan,Facility,"A consumer customer applies for and gets a loan to purchase new furniture.
",The consumer loan product may include different properties/features depending on a bank's preferences and policies. The loan is targeted at consumer customer and may be associated with a type of product and may or may not be secured by collateral.
Corporate Current Account,Products,Corporate Banking,Fulfill,Corporate Current Account,Facility,"A corporate customer established a corporate current account with the bank and requests a series of services (e.g., request printed statements, initiate a transfer, set up a standing order)","The Corporate Current Account is a financial facility that represents the general checking account facility at the core of corporate banking activity. There is a range of supporting features that make up the standard facility (checks/cheques, standing orders, debit cards, phone and on-line banking services etc.). The fulfillment can include a range of optional services, fees and interest payments and penalties and will often be bundled and or underlie/support other financial facilities and financial transactions"
Corporate Lease,Products,Loans and Deposits,Fulfill,Corporate Lease,Facility,"Example of use:
A corporate customer establishes a corporate leasing facility with the bank to acquire critical production equipment and facilities under lease",The Service Domain provides the financing support to support corporate customers with leasing arrangements for property and equipment. The bank will take a collateral interest in the leased items to underwrite the associated loan(s)
Corporate Loan,Products,Loans and Deposits,Fulfill,Corporate Loan,Facility,"A corporate customer applies for and gets a loan to purchase new equipment.
",The corporate loan product may include different properties/features depending on a bank's preferences and policies. The loan is targeted at corporate customers and may be associated with a type of product and may or may not be secured by collateral.
Current Account,Products,Consumer Banking,Fulfill,Current Account,Facility,"A customer processes a series of services (e.g., request printed statements, initiate a transfer, set up a standing order) through the call center by accessing their current account","The Current Account or Demand Deposit Account as it can be called is a financial facility that represents the general checking account facility at the core of the consumer and small business banking activity. There is a range of supporting features that make up the standard facility (checks/cheques, standing orders, debit cards, phone and on-line banking services etc.). The fulfillment can include a range of optional services, fees and interest payments and penalties and will often be bundled and or underlie/support other financial facilities and financial transactions"
Fiduciary Agreement,Products,Loans and Deposits,Fulfill,Fiduciary Relationship,Facility,"Example of use:
A customer established a fiduciary arrangement with the bank to manage an investment portfolio in accordance with agreed investment guidelines",Fulfillment of an arrangement (such as investment management of a trust fund) on behalf of a customer where the banks acts their trusted proxy and acts in compliance with the specific terms of the fiduciary arrangement
Leasing,Products,Loans and Deposits,Fulfill,Leasing,Facility,"Example of use:
A customer requests a leasing arrangement to support the acquisition of equipment",The Service Domain fulfills a general leasing arrangement for a single leased product or facility. The bank will take a collateral interest in the leased item to underwrite the associated loan/lease arrangement
Loan,Products,Loans and Deposits,Fulfill,Loan,Facility,"Example of use:
An established and valued bank customer applies for and gets a loan for a home improvement project
",The loan product represents a generic loan capability that may include different properties/features depending on a bank's preferences and policies. The loan may or may not be secured by collateral.
Merchandising Loan,Products,Loans and Deposits,Fulfill,Merchandising Loan,Facility,"Example of use:
A boat retailer coordinates with a bank to offer merchandising loans to bank customers wanting to buy a boat",The service domain handles loan fulfillment intended for the purchase of a larger merchandise item such as a car or boat. The item is usually administered as collateral for the loan and the origination and subsequent processing of the loan can include coordination with the merchant for some elements of fulfillment.
Mortgage Loan,Products,Loans and Deposits,Fulfill,Mortgage Loan,Facility,"Example of use:
An established bank customer applies for a mortgage to purchase a home - the offer process is completed and the mortgage facility is established and funds disbursed to complete the purchase","The service domain handles the fulfillment of a loan product intended for the purchase of a property. Title to the property is usually administered as collateral for the mortgage loan. Note several different financial arrangements can be supported (interest only, variable rate, repayment). Furthermore the administration of the collateral is delegated to the Collateral Administration Service Domain and overseen by this Service Domain"
Savings Account,Products,Loans and Deposits,Fulfill,Savings Account,Facility,A customer transfers money from a current account to savings account in order to obtain a better rate of interest.,"The savings account product may share many features with a standard bank current account (e.g. standing orders, direct debits, payments and deposit services) with some constraints/limitations. There can be restrictions on the amount and frequency of withdrawals with an associated fee/penalty structure to offset higher interest benefits. Sweep mechanisms linked to other products (current account) can also be supported."
Standing Order,Products,Loans and Deposits,Fulfill,Standing Order,Facility,"- A customer issues a standing order for his or her monthly apartment rent amount to be paid to the landlord.
- A customer issues an instruction for any balance amount above 5,000 on his current account to be transferred to his savings account at EOD.
- A customer establishes a regular standing order for a critical monthly payment. They select their current account as the primary source of funds and their savings account as the backup account.","Customers can issue standing orders to the bank. In most cases this is for the execution of a periodical payment, but there are other standing instructions like, sweeping balances at end of month, topping off excess funds for a current account, etc. All Standing Orders have a certain periodicity. The Standing Order Service Domain is responsible for generating payment orders on each due date."
Term Deposit,Products,Loans and Deposits,Fulfill,Term Deposit,Facility,"A customer has excess funds available. They select a standard Term Deposit product from the bank or, in the case of a larger amount, may negotiate specific conditions for a Term Deposit and instruct the bank to transfer an amount into the new Term Deposit account. ","A Term Deposit is an interest bearing account into which a customer can place a fixed amount of funds for a fixed amount of time. The Service Domain handles the opening, servicing and maturity processing of a Term Deposit. Early closing of a Term Deposit may be allowed by the bank, but in that case penalty interest rates and charges may be applied.

NB In BIAN demand deposits are seen as Savings Accounts."
Term Deposit Framework Agreement,Operations,Operational Services,Fulfill,Term Deposit Framework Agreement,Facility,"A corporate customer has a frequent need to to put excess liquidity on an interest bearing account for a shorter (e.g. overnight) or a longer period. The customer negotiates a framework agreement with the bank and if and when needed, negotiates specific conditions for an individual deposit. The customer instructs the bank to move funds from a Corporate Current Account to a Term Deposit account that is linked to the Term Deposit Framework Agreement.",A term deposit framework agreement establishes a facility that enables a customer to initiate multiple term deposits in parallel and over a longer timeframe than the duration of individual term deplosits. The facility implements standard conditions that are agreed upon with the bank to provide the customer with the flexibility to initiate individual term deposits as and when they require. This arrangement also reduces the administrative time an effort required by both the customer and the bank to initiate individual term deposits.
Virtual Account,Products,Corporate Banking,Fulfill,Virtual Account,Facility,"Virtual Accounts based on a Corporate Current Account can for instance mirror the internal accounts of a group parent-subsidiaries structure. Typically the management of the Virtual Accounts is left to the (parent)
customer. This implies that the customer will be able to open Virtual Accounts, once it has a Virtual Account agreement with the bank. The bank will be responsible for the correct execution of the customer? instructions, for the correct validation (including AML and KYC) and for the reporting to the customer and government and central bank.","A Virtual Account is a bank account that is defined on an underlying real account. It can receive and send payments for the underlying account while behaving towards the outside as a separate account. In a light version it does not have a balance; it can be seen as only a funnel through which funds can move into and out of the underlying account. In a more full version it can have its own balance, but all incoming and outgoing transactions will be mirrored in the underlying real account. A real account can have many Virtual Accounts defined on it."
Corporate Action,Products,Market Operations,Process,Corporate Action,Procedure,A bank processes the required custody adjustments for customers holding security in a stock that is split by its issuing company,"Corporate actions cover a range of activities that directly impact the share price and hence the shareholders of a company. The main types of corporate action include stock splits and reversals, dividend (both cash and stock), rights issues, mergers and acquisitions and spin-offs. This service domain handles the required processing for a customer's securities that are held in custody by the bank"
Custody Administration,Operations,"Custody, Collateral And Documents",Fulfill,Custody,Facility,"Example of use:
A customer uses the banks custodial services to handle their investment portfolio holdings","Administer the securities scrip (paper and electronic) holdings for a custodial arrangement. This includes administering the physical movements of securities, safe storage, the processing of associated dividends and interest and securities reporting"
Financial Instrument Valuation,Products,Market Operations,Process,Market Asset Valuation,Procedure,The assets held in an investment portfolio are subject to valuation as part of an annual performance report,"Provide securities/asset valuation services. A wide range of valuation approaches can be applied to a range of different instrument/asset types. This Service Domain implements a process by which the most appropriate valuation method is selected and applied in the context of the valuation request and the purpose of the valuation. The fundamental pricing principle is based on an analysis of the present value of expected cash flows. This calculation involves identifying the expected cash flows, determining appropriate (range of)interest rates that might discount future cash flows and calculate the current value of future cash flows applying those interest rates"
Hedge Fund Administration,Products,Corporate Finance,Administer,Hedge Fund,Administrative Plan,A bank operates a hedge fund to support its accredited investment customers. The fund targets a market segment of specific interest to its investor membership ,Hedge funds group accredited investors as limited partners to the fund with the fund manager as the general partner. As investors are restricted to being accredited a hedge funds is free to make more aggressive investment decisions and can generate higher returns. Fund income combines management and performance fees
Mutual Fund Administration,Products,Corporate Finance,Administer,Mutual Fund,Administrative Plan,A bank operates mutual funds to offer its non accredited customers access to suitably structured investment opportunities.,"Mutual funds provide an investment vehicle to general investors and as such are highly regulated and tend to focus on lower risk/return investments. Mutual funds are allowed to charge investors a management fee, but unlike hedge funds the mutual fund manager is not permitted to share in the fund's performance"
Order Allocation,Operations,Clearing And Settlement,Process,Securities Allocation,Procedure,A large market order is partly fulfilled and the pricing and allocation of the trade is allocated across the counterparties,Apply appropriate rules to allocate a completed or partially completed block order across the customers placing the constituent market orders
Securities Fails Processing,Products,Market Operations,Process,Security Trading Fails,Procedure,The settlement details for an executed trade are rejected by the counterparty during confirmation. The back office traces the deal activity to identify the source of the clerical error obtain the agreement for the resolution and make the necessary changes to the transaction and trade reporting,Market trades of securities may fail at different stages in the clearing and settlement processing. This Service Domain handles the resolution of securities processing failures
Trade and Price Reporting,Products,Market Operations,Operate,Market Trade Reporting,Operating Session,Real-time trade reporting is processed for market trades executed through specific trading markets accessed by the bank,Operate a trade reporting facility as required by applicable trading market participation rules and regulations. Capture and transmit executed trade details to the exchange in compliance with the required timeframes and operating schedules
Trade Clearing,Products,Market Operations,Process,Trade Clearing,Procedure,A market trade is passed to the back office for clearing and settlement.,The process handles the notification and agreement of trade details and confirms securities and funds are made available in the corresponding cash and securities depository systems. Note the mechanics of the confirmation process can vary significantly for different security types and market places. In all cases the goal of the clearing process is to confirm and notify the transaction details to all interested parties to ensure that subsequent settlement of the transaction progresses smoothly
Trade Confirmation Matching,Products,Market Operations,Operate,Trade Matching,Operating Session,Broker dealer and institutional investor trade details are matched and confirmation/affirmation obtained during a trading period,Trade matching and confirmation/affirmation is the process by which the broker dealer and institutional investor involved in a market trade ensure they agree all terms early in the trade process. The matching function is typically performed by a central market facility with both broker dealer and the institutional investor reporting trade details independently. The central system matches reported trades and then seeks confirmation/affirmation from the interested parties. This Service Domain supports the broker or investor role interfacing to that central market service
Unit Trust Administration,Products,Corporate Finance,Administer,Unit Trust,Administrative Plan,An investment trust is established and sold to a group of investors,Unit trusts offer a fixed term investment vehicle for bank customers with terms typically ranging from one to twenty years. Unlike many other types of investment fund the unit trust issues a fixed number of shares and is not actively managed during its term. The fund may exchange severely underperforming assets in rare cases. Investors may be able to exchange shares with other investors within the trust but the fund is essentially 'closed' to the originating investor pool for its full term
Bank Guarantee,Products,Trade Banking,Transact,Bank Guarantee,Transaction,A bank guarantee is provided to a corporate client to cover international trade finance deal,"Orchestrate the pricing, issuance and subsequent fulfillment activities for Bank Guarantees as used in corporate/correspondent trade and project finance activity"
Cash Concentration,Products,Corporate Banking,Fulfill,Account Balance Sweeping,Facility,A customer has an agreement to replenish a Current Account from a second account when there are insufficient funds to meet scheduled payments,"Cash Concentration is a cash management service aimed at moving a balance, or part of a balance of an account to a different account. This can be done periodically and ad-hoc. Objectives could be to zero a specific account (e.g. during each EOD) or to replenish a particular account (e.g. in case of insufficient balance for a payment order). In the latter case it is necessary to define the sequence in which balances from other accounts are moved to the destination account."
Cash Management And Account Services,Products,Corporate Banking,Fulfill,Cash Management And Account Services,Facility,A corporate customer implements a positive pay facility with the bank to reduce the exposure to check fraud for the checks it writes.,"Cash Management and Account Services combines the capabilities of a cash management account that in itself combines features of a current account and a savings account, with additional cash management services. The supporting features that make up the facility (checks/cheques, standing orders, debit cards, phone and on-line banking services etc. can be extended to include other features such as positive pay and reverse positive pay for check processing."
Cheque Lock Box,Products,Corporate Banking,Fulfill,Lock Box,Facility,A batch of checks are processed for a corporate customer with a lock box payment facility,A service where the bank handles paper cheques on behalf of a corporate customer in order to expedite processing
Corporate Payroll Services,Products,Corporate Banking,Fulfill,Employee Payment Services,Facility,A Corporate customer engages the bank to handle its staff payroll payment processing. It incentivizes its employees to open accounts at the bank to facilitate payment and arranges for employees to provide all necessary account details to support payroll processing,The Corporate Payroll Services Service Domain processes net salary payments for corporate customers' employees. Employee and payment details are provided by the corporate and the bank coordinates payments to any employee accounts held at the bank and makes payments to other banks with the employee as the beneficiary as necessary.
Credit Facility,Products,Corporate Banking,Fulfill,Credit Line,Facility,"Credit Facilties can typically be used to attach trade financing products and also overdrafts in current account where quick processing is demanded by the customer. A Credit Facility is with one customer, but the overall Credit Limit under which Credit Facilities come, can be for more than one customer, typically belonging to one customer group. Credit Facilities within a Credit Facility hierarchy can be for different, but usually related, customers.","The Credit Facility Service Domain manages the Credit Facilities that a Corporate Customer has with the bank. A Credit Facility is an agreement between the bank and a (corporate) customer to allow the customer to acquire asset products from the bank up to the limit of the credit facility without the need for a full due diligence and underwriting for each of these products. Credit Facilities can have a hierarchy and they come under the overall Credit Limit for the customer, which is the bank-internal maximum credit exposure that the bank is willing to have with the customer."
Credit Management,Finance And Risk Management,Credit Risk,Assess,Credit Pricing,Assessment,"Example of use:
A corporate loan is presented for credit management pricing decisioning prior to completion of the offer process",This service domain supports a central bank credit management function that maintains an overarching credit perspective across all bank activity. Transactions can be re-priced to factor in this credit perspective
